Captured API traffic
====================

[before]
  login – 26 requests
    GET 200 document :: http://103.159.68.35:3535/auth/student/login
    GET 200 image :: http://103.159.68.35:3535/techno.webp
    GET 200 stylesheet :: http://103.159.68.35:3535/_next/static/css/60c196a7146ebc81.css
    GET 200 image :: http://103.159.68.35:3535/techno-njr-logo.png
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/webpack-233ea4612765fc91.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/main-app-df4e70732bfaec37.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/3455-c408e80c6139ed15.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/4bd1b696-c597395260c46d35.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/1684-59dc5bd1bf25c672.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/7836-bd6d5c823eacd2db.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/layout-7493f253e118e3aa.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/auth/student/layout-f2628fffbeaf242a.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/6874-81814607f599fbc0.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/2217-ca82ec107ca531c6.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/3063-0bd1dbea79eb4403.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/8318-ca0233d80ae69479.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/auth/student/login/page-00222897c843ba0e.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/aaea2bcf-2024f09e67fbfbbe.js
    GET 200 fetch :: http://103.159.68.35:3535/?_rsc=1dcwj
    GET 200 fetch :: http://103.159.68.35:3535/auth/student/forgot-password?_rsc=1dcwj
    GET 200 fetch :: http://103.159.68.35:3535/auth/student/register?_rsc=1dcwj
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/auth/student/forgot-password/page-4d8646a3cdc11c1e.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/page-578f14d1c704ade5.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/1071-2543345b49b967f8.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/auth/student/register/page-b500a0f32151b0c1.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/2688-95bd341013326852.js
  dashboard – 32 requests
    GET 200 document :: http://103.159.68.35:3535/student
    GET 200 stylesheet :: http://103.159.68.35:3535/_next/static/css/60c196a7146ebc81.css
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/webpack-233ea4612765fc91.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/4bd1b696-c597395260c46d35.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/1684-59dc5bd1bf25c672.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/main-app-df4e70732bfaec37.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/3455-c408e80c6139ed15.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/7836-bd6d5c823eacd2db.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/layout-7493f253e118e3aa.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/aaea2bcf-2024f09e67fbfbbe.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/2217-ca82ec107ca531c6.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/6874-81814607f599fbc0.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/3063-0bd1dbea79eb4403.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/7028-e45d92e8d8642cd2.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/student/layout-756cc4da2132821a.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/738-a579ab45bcaa016e.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/student/page-1d5fbd72ea7f1283.js
    GET 200 fetch :: http://103.159.68.35:3535/auth/student/login?_rsc=18jqe
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/auth/student/layout-f2628fffbeaf242a.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/8318-ca0233d80ae69479.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/auth/student/login/page-00222897c843ba0e.js
    GET 200 fetch :: http://103.159.68.35:3535/auth/student/login?_rsc=18jqe
    GET 304 image :: http://103.159.68.35:3535/techno-njr-logo.png
    GET 200 fetch :: http://103.159.68.35:3535/auth/student/register?_rsc=1dcwj
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/2688-95bd341013326852.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/1071-2543345b49b967f8.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/auth/student/register/page-b500a0f32151b0c1.js
    GET 304 image :: http://103.159.68.35:3535/techno.webp
    GET 200 fetch :: http://103.159.68.35:3535/?_rsc=1dcwj
    GET 200 fetch :: http://103.159.68.35:3535/auth/student/forgot-password?_rsc=1dcwj
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/page-578f14d1c704ade5.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/auth/student/forgot-password/page-4d8646a3cdc11c1e.js
  attendance – 34 requests
    GET 200 document :: http://103.159.68.35:3535/student/attendance
    GET 200 stylesheet :: http://103.159.68.35:3535/_next/static/css/60c196a7146ebc81.css
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/webpack-233ea4612765fc91.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/4bd1b696-c597395260c46d35.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/1684-59dc5bd1bf25c672.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/main-app-df4e70732bfaec37.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/3455-c408e80c6139ed15.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/7836-bd6d5c823eacd2db.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/layout-7493f253e118e3aa.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/aaea2bcf-2024f09e67fbfbbe.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/2217-ca82ec107ca531c6.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/student/layout-756cc4da2132821a.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/2688-95bd341013326852.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/1071-2543345b49b967f8.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/6874-81814607f599fbc0.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/3063-0bd1dbea79eb4403.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/7028-e45d92e8d8642cd2.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/738-a579ab45bcaa016e.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/4358-63e84e3c5614599d.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/731-b0cd71b7198cf896.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/5421-9908c99b6e75b0ab.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/student/attendance/page-d8399905ea87c276.js
    GET 200 fetch :: http://103.159.68.35:3535/auth/student/login?_rsc=1gihr
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/auth/student/layout-f2628fffbeaf242a.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/8318-ca0233d80ae69479.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/auth/student/login/page-00222897c843ba0e.js
    GET 304 image :: http://103.159.68.35:3535/techno-njr-logo.png
    GET 304 image :: http://103.159.68.35:3535/techno.webp
    GET 200 fetch :: http://103.159.68.35:3535/auth/student/register?_rsc=1dcwj
    GET 200 fetch :: http://103.159.68.35:3535/auth/student/forgot-password?_rsc=1dcwj
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/auth/student/register/page-b500a0f32151b0c1.js
    GET 200 fetch :: http://103.159.68.35:3535/?_rsc=1dcwj
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/auth/student/forgot-password/page-4d8646a3cdc11c1e.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/page-578f14d1c704ade5.js
  profile – 31 requests
    GET 200 document :: http://103.159.68.35:3535/student/profile
    GET 200 stylesheet :: http://103.159.68.35:3535/_next/static/css/60c196a7146ebc81.css
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/webpack-233ea4612765fc91.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/4bd1b696-c597395260c46d35.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/1684-59dc5bd1bf25c672.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/main-app-df4e70732bfaec37.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/3455-c408e80c6139ed15.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/7836-bd6d5c823eacd2db.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/layout-7493f253e118e3aa.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/aaea2bcf-2024f09e67fbfbbe.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/2217-ca82ec107ca531c6.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/student/layout-756cc4da2132821a.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/6874-81814607f599fbc0.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/3063-0bd1dbea79eb4403.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/7028-e45d92e8d8642cd2.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/738-a579ab45bcaa016e.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/student/profile/page-fc5b539e3ab83549.js
    GET 200 fetch :: http://103.159.68.35:3535/auth/student/login?_rsc=frzpa
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/auth/student/layout-f2628fffbeaf242a.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/8318-ca0233d80ae69479.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/auth/student/login/page-00222897c843ba0e.js
    GET 200 fetch :: http://103.159.68.35:3535/auth/student/forgot-password?_rsc=1dcwj
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/auth/student/forgot-password/page-4d8646a3cdc11c1e.js
    GET 304 image :: http://103.159.68.35:3535/techno.webp
    GET 304 image :: http://103.159.68.35:3535/techno-njr-logo.png
    GET 200 fetch :: http://103.159.68.35:3535/?_rsc=1dcwj
    GET 200 fetch :: http://103.159.68.35:3535/auth/student/register?_rsc=1dcwj
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/page-578f14d1c704ade5.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/2688-95bd341013326852.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/1071-2543345b49b967f8.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/auth/student/register/page-b500a0f32151b0c1.js

[manual]
  manual_interaction – 41 requests
    POST 200 xhr :: http://103.159.68.35:3536/api/student/auth/login
    POST 201 xhr :: http://103.159.68.35:3536/api/student/dashboard/activity-log
    GET 200 fetch :: http://103.159.68.35:3535/student?_rsc=1cru3
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/student/page-1d5fbd72ea7f1283.js
    GET 200 xhr :: http://103.159.68.35:3536/api/student/dashboard/profile
    GET 200 xhr :: http://103.159.68.35:3536/api/student/dashboard/stats
    GET 200 fetch :: http://103.159.68.35:3535/student/attendance?_rsc=1bdpw
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/5421-9908c99b6e75b0ab.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/4358-63e84e3c5614599d.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/731-b0cd71b7198cf896.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/student/attendance/page-d8399905ea87c276.js
    GET 200 fetch :: http://103.159.68.35:3535/student/change-password?_rsc=1bdpw
    GET 200 fetch :: http://103.159.68.35:3535/student/timetable?_rsc=1bdpw
    GET 200 xhr :: http://103.159.68.35:3536/api/student/dashboard/profile-picture
    GET 200 xhr :: http://103.159.68.35:3536/api/student/dashboard/profile-picture
    GET 200 image :: blob:http://103.159.68.35:3535/1aafa6de-0efd-4537-a076-209f19efdf7f
    GET 200 image :: blob:http://103.159.68.35:3535/97e8ee0e-cdb1-4a44-adf5-b5e6da9e168e
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/5878-49baad50a6a9e539.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/student/timetable/page-768599c8053739ef.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/6118-a30dcbc15835a9c1.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/student/change-password/page-49c81784059e3ee7.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/8512-ff14b89f6c64392b.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/164f4fb6-75f8223513850313.js
    GET 200 xhr :: http://103.159.68.35:3536/api/student/dashboard/profile-picture
    GET 200 image :: blob:http://103.159.68.35:3535/af93cf55-b616-4715-a1e9-9f55df2af669
    GET 200 xhr :: http://103.159.68.35:3536/api/student/dashboard/attendance/records?page=1&limit=100
    GET 200 xhr :: http://103.159.68.35:3536/api/student/dashboard/attendance/stats
    GET 200 xhr :: http://103.159.68.35:3536/api/student/dashboard/profile-picture
    GET 200 image :: blob:http://103.159.68.35:3535/a2270774-8cba-42cc-b366-972a8bd3ec2e
    GET 404 xhr :: http://103.159.68.35:3536/api/student/dashboard/timetable
    GET 200 xhr :: http://103.159.68.35:3536/api/student/dashboard/profile-picture
    GET 200 xhr :: http://103.159.68.35:3536/api/student/dashboard/profile-picture
    GET 200 image :: blob:http://103.159.68.35:3535/87c36789-511c-4747-b995-38ae1c2a990b
    GET 200 image :: blob:http://103.159.68.35:3535/11855a6f-7946-401e-83b2-81d25a8470a0
    GET 200 xhr :: http://103.159.68.35:3536/api/student/dashboard/profile-picture
    GET 200 image :: blob:http://103.159.68.35:3535/4896b316-4e10-4c86-96f5-53f47675f989
    GET 200 xhr :: http://103.159.68.35:3536/api/student/dashboard/stats
    GET 200 xhr :: http://103.159.68.35:3536/api/student/dashboard/profile-picture
    GET 200 xhr :: http://103.159.68.35:3536/api/student/dashboard/profile-picture
    GET 200 image :: blob:http://103.159.68.35:3535/51e65c9b-f241-41cd-aef8-7c61ba9a1421
    GET 200 image :: blob:http://103.159.68.35:3535/91609b19-17f6-4e1b-85e4-e3fc40d51e87

[after]
  login – 26 requests
    GET 200 document :: http://103.159.68.35:3535/auth/student/login
    GET 200 stylesheet :: http://103.159.68.35:3535/_next/static/css/60c196a7146ebc81.css
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/webpack-233ea4612765fc91.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/4bd1b696-c597395260c46d35.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/1684-59dc5bd1bf25c672.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/main-app-df4e70732bfaec37.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/3455-c408e80c6139ed15.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/7836-bd6d5c823eacd2db.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/layout-7493f253e118e3aa.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/aaea2bcf-2024f09e67fbfbbe.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/2217-ca82ec107ca531c6.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/auth/student/layout-f2628fffbeaf242a.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/6874-81814607f599fbc0.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/3063-0bd1dbea79eb4403.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/8318-ca0233d80ae69479.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/auth/student/login/page-00222897c843ba0e.js
    GET 304 image :: http://103.159.68.35:3535/techno.webp
    GET 200 fetch :: http://103.159.68.35:3535/?_rsc=1dcwj
    GET 304 image :: http://103.159.68.35:3535/techno-njr-logo.png
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/page-578f14d1c704ade5.js
    GET 200 fetch :: http://103.159.68.35:3535/auth/student/register?_rsc=1dcwj
    GET 200 fetch :: http://103.159.68.35:3535/auth/student/forgot-password?_rsc=1dcwj
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/2688-95bd341013326852.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/1071-2543345b49b967f8.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/auth/student/register/page-b500a0f32151b0c1.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/auth/student/forgot-password/page-4d8646a3cdc11c1e.js
  dashboard – 43 requests
    GET 200 document :: http://103.159.68.35:3535/student
    GET 200 stylesheet :: http://103.159.68.35:3535/_next/static/css/60c196a7146ebc81.css
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/webpack-233ea4612765fc91.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/4bd1b696-c597395260c46d35.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/1684-59dc5bd1bf25c672.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/main-app-df4e70732bfaec37.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/3455-c408e80c6139ed15.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/7836-bd6d5c823eacd2db.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/layout-7493f253e118e3aa.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/aaea2bcf-2024f09e67fbfbbe.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/2217-ca82ec107ca531c6.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/student/layout-756cc4da2132821a.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/6874-81814607f599fbc0.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/3063-0bd1dbea79eb4403.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/7028-e45d92e8d8642cd2.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/738-a579ab45bcaa016e.js
    GET 200 script :: http://103.159.68.35:3535/_next/static/chunks/app/student/page-1d5fbd72ea7f1283.js
    GET 200 xhr :: http://103.159.68.35:3536/api/student/dashboard/profile
    GET 200 xhr :: http://103.159.68.35:3536/api/student/dashboard/stats
    GET 304 image :: http://103.159.68.35:3535/techno-njr-logo.png
